Latitude,Longitude,altitude,Distance,Pitch angle,Velocity,Time(secs),Acceleration
28.483798,-120.516773,10417.44,824.7661,76,886,756,1171.957672
37.95499881,126.6712177,433,1242,-610,6.533264478,1461.5,4.470245965
442760087,-940902736,2,149,-233,177,3785,46.76354029
37.69848593,126.7479328,1342,1361,-794.3571429,5.647232788,1817.5,3.107143212
38.23577958,124.6473773,93,724,-608.9642857,6.538242185,1459.5,4.479782244
53.38648401,-113.4398134,731.19,319,1.2,81.11,813,99.76629766
53.68380338,-113.3388529,719.07,387,197.1,87.4,408,214.2156863
53.70736314,-113.5156895,734.44,222,179.8,109.1,1128,96.71985816
39.91705758,124.2638207,534,1000,-70.39285714,9.126649369,419.5,21.75601757
442760087,-940902736,5,115,-234,105,2490,42.1686747
53.37150703,-113.3428265,764.15,377,357.9,67.34,2484,27.10950081
442760088,-940902737,1,190,-232,149,2990,49.83277592
25.839719,-120.516952,843.46,1117.195,-6,881,1060,831.1320755
442760087,-940902737,6,115,-229,108,3990,27.06766917
17.919802,-120.516841,1591.36,1993.862,-65,911,1916,475.4697286
53.66510991,-113.3858271,676.67,308,272.5,76.44,1074,71.17318436
28.527025,-120.516768,10418.03,819.9812,2,899,752,1195.478723
30.796602,-120.516745,10419.92,568.5806,-81,896,544,1647.058824
37.55111259,124.0012096,1202,906,-419.4285714,7.449162405,1093.5,6.812219849
38.54857309,125.9392632,284,916,-466.0357143,7.22516563,1183.5,6.104913925
53.57327715,-113.745001,708.87,217,293.9,74.94,2010,37.28358209
38.23222202,128.3977324,339,586,17.64285714,9.54975439,249.5,38.2755687
442760086,-940902740,3,170,-233,128,1390,92.08633094
442760087,-940902737,4,152,-232,121,3050,39.67213115
53.44578174,-113.3229198,791.19,325,81.8,93.14,1275,73.05098039
53.65126613,-113.2485592,675.67,390,203.5,66.98,1995,33.57393484
39.85813044,124.2360907,592,1000,-79.71428571,9.081850014,437.5,20.75851432
38.75394014,124.681583,1357,1178,-541.6428571,6.861793083,1329.5,5.161183214
442760087,-940902737,3,199,-232,125,2345,53.30490405
442760086,-940902741,6,130,-231,176,1005,175.1243781
18.275318,-120.517229,182.81,1954.46,-9,918,1864,492.4892704
23.949125,-120.517174,8095.7,1326.909,84,905,1284,704.8286604
53.39559765,-113.3162062,765.58,349,90.3,69.05,2208,31.27264493
442760087,-940902737,2,119,-233,101,3145,32.11446741
37.62843994,128.541966,359,806,-395.6071429,7.563649646,1047.5,7.22066792
37.29762288,124.8653966,177,840,-360.3928571,7.732891654,979.5,7.894733695
38.77860757,125.9021132,552,1220,-369.7142857,7.688092299,997.5,7.707360701
25.55675,-120.516766,1704.14,1148.579,69,915,1104,828.8043478
442760087,-940902742,4,191,-231,173,945,183.0687831
53.50957574,-113.7326947,738.08,268,358,74.26,789,94.11913815
53.4076686,-113.5021226,705.74,397,203.9,74.17,948,78.23839662
53.51205082,-113.7215985,733.26,222,88.2,59.62,2781,21.43833154
39.34523599,127.6844752,373,1290,-236.1071429,8.330216389,739.5,11.26466043
442760088,-940902737,3,200,-232,158,3010,52.49169435
29.003795,-120.516736,10416.5,767.1846,-37,900,708,1271.186441
30.407097,-120.51669,10418.32,611.7499,75,919,580,1584.482759
53.50177995,-113.7934201,735.39,233,285,76.38,2661,28.70349493
39.80484591,124.7999745,1287,919,-501.25,7.055923621,1251.5,5.637973329
18.52424,-120.516932,167.47,1926.919,-35,886,1826,485.2135816
442760086,-940902738,3,112,-232,173,1620,106.7901235
442760086,-940902734,5,141,-234,163,4980,32.73092369
53.38526918,-113.5761652,714.05,387,358,74.13,1497,49.51903808
53.52953796,-113.6632114,731.81,291,203.7,67.55,177,381.6384181
39.44652929,128.0186217,599,280,33.17857143,9.624419981,219.5,43.84701586
442760087,-940902737,5,130,-230,136,1970,69.03553299
442760086,-940902736,5,188,-234,128,3895,32.86264442
53.70893567,-113.3446777,760.7,240,180.6,75.26,1722,43.70499419
442760087,-940902737,2,112,-230,121,3975,30.44025157
27.383309,-120.516977,7265.12,946.5157,-10,880,862,1020.881671
442760087,-940902744,3,170,-236,163,615,265.0406504
21.099151,-120.516851,10392.29,1642.381,-16,902,1546,583.4411384
21.803696,-120.517051,10389.47,1564.405,26,920,1482,620.782726
53.7155672,-113.3568379,689.43,237,0,69.4,2343,29.62014511
53.71293592,-113.3440035,684.74,359,180.6,82.89,30,2763
442760086,-940902734,4,153,-234,147,4990,29.45891784
17.678186,-120.517256,3146.25,2020.626,0,906,1948,465.0924025
53.41467949,-113.4012399,768.65,304,210.4,63.56,738,86.12466125
442760087,-940902737,2,110,-232,188,2415,77.84679089
442760087,-940902737,5,196,-233,142,3370,42.13649852
26.121353,-120.517121,862.63,1085.979,-39,885,1016,871.0629921
26.721779,-120.51672,3484.12,1019.639,-85,903,934,966.8094218
442760087,-940902736,2,148,-234,185,3775,49.00662252
53.67508206,-113.5335371,731.91,284,90.7,77.04,1161,66.35658915
442760087,-940902737,5,181,-231,129,2335,55.24625268
34.292044,-118.201202,5070,89.45067,7,906,120,7550
53.56753134,-113.6659299,733.23,376,269,72.29,2910,24.8419244
442760086,-940902742,1,128,-232,163,915,178.1420765
442760087,-940902745,6,185,-232,148,465,318.2795699
23.319596,-120.517057,9455.54,1396.611,-8,903,1344,671.875
53.6444115,-113.266353,640.63,280,175.1,83.57,2202,37.95186194
37.6485231,124.295382,772,1357,-765.3571429,5.78660856,1761.5,3.285046018
442760087,-940902737,4,133,-233,102,3180,32.0754717
31.458455,-120.516953,10413.88,495.2328,-83,884,482,1834.024896
32.914065,-119.024961,9097.32,272.6473,86,913,292,3126.712329
442760086,-940902737,3,163,-232,129,4100,31.46341463
27.817925,-120.517101,9592.36,898.4898,-42,886,818,1083.129584
442760089,-940902746,1,105,-227,104,85,1223.529412
53.49362428,-113.7482541,736.19,348,209.7,68.75,726,94.6969697
442760086,-940902737,3,122,-231,173,4225,40.94674556
21.187553,-120.516774,10389.86,1632.606,6,909,1538,591.0273082
53.40937741,-113.3016588,772.95,290,256.3,71.37,2892,24.67842324
39.504417,125.964333,71,0,78,12,211.5,56.73758865
442760087,-940902745,1,145,-232,178,510,349.0196078
442760087,-940902744,3,191,-234,114,635,179.5275591
53.66986517,-113.3328448,693.2,326,180.9,69.78,2163,32.26074896
39.29183943,127.8938526,992,1084,-603.7857143,6.563130715,1449.5,4.527858375
39.38878341,125.9868218,438,1139,-247.5,8.275461622,761.5,10.86731664
29.882399,-120.516918,10421.06,669.8842,87,884,628,1407.643312
53.44682225,-113.6037197,719.35,400,357.8,62.58,54,1158.888889
25.814449,-120.516904,867.88,1119.978,-7,897,1064,843.0451128
30.036034,-120.517034,10419.94,652.8645,17,916,614,1491.856678
442760087,-940902736,2,108,-230,170,2170,78.34101382
37.66216113,126.5253278,857,1159,-230.9285714,8.35510492,729.5,11.45319386
53.4636634,-113.7809293,720.45,360,92,76.96,531,144.9340866
23.636587,-120.517104,8834.6,1361.518,-75,903,1314,687.2146119
38.22016833,127.878275,30,586,-35.17857143,9.295891377,351.5,26.44634816
39.43090955,126.7994055,851,673,-307.5714286,7.986754667,877.5,9.10171472
442760087,-940902744,2,107,-232,109,395,275.9493671
39.1677,127.4817,195,586,-26,15,157.5,95.23809524
26.305836,-120.516918,1658.9,1065.58,90,907,988,918.0161943
39.83480331,126.6322572,1120,586,-54.85714286,9.201314961,389.5,23.6234017
53.64467286,-113.3475377,677.29,236,268.5,66.93,2199,30.43656207
442760087,-940902737,2,195,-234,172,3335,51.57421289
53.56043658,-113.7158491,731.96,337,10.6,78.58,285,275.7192982
53.66837914,-113.5233059,713.01,400,181.9,59.06,2853,20.70101647
31.26752,-120.516861,10413.54,516.3898,30,916,500,1832
37.42292502,125.3735009,711,1103,-387.3214286,7.603471295,1031.5,7.371276098
53.64462355,-113.5314977,706.38,399,202.9,75.04,1578,47.55386565
25.740689,-120.516854,899.58,1128.124,29,896,1076,832.7137546
442760087,-940902736,1,101,-234,120,2590,46.33204633
442760087,-940902737,1,124,-233,137,3385,40.47267356
38.30186305,128.1449396,1338,1154,-656.6071429,6.309267703,1551.5,4.066559912
442760087,-940902737,3,162,-233,129,3045,42.36453202
21.606225,-120.51682,10391.12,1586.259,-32,885,1500,590
32.955878,-118.97051,8973.33,265.7459,-20,909,286,3178.321678
442760088,-940902746,3,178,-228,157,170,923.5294118
442760086,-940902739,6,131,-233,145,1540,94.15584416
442760086,-940902736,2,183,-235,170,4440,38.28828829
53.4009147,-113.4028831,747.97,250,183.5,70.88,2898,24.45824707
18.065829,-120.516816,552.07,1977.636,-21,917,1896,483.649789
53.65032674,-113.4317669,694.58,226,275.8,87.57,1068,81.99438202
37.45407705,128.1367332,1316,1267,-521.9642857,6.956369499,1291.5,5.386271389
53.43231797,-113.3678168,790.27,378,268.3,69.8,1521,45.89086128
442760089,-940902746,3,148,-227,108,30,3600
39.13902488,127.6953897,218,703,-432.8928571,7.384452226,1119.5,6.596205651
442760087,-940902736,6,183,-231,155,2140,72.42990654
442760087,-940902736,2,167,-231,155,3500,44.28571429
442760087,-940902736,6,198,-231,153,2130,71.83098592
26.687978,-120.517117,3320.15,1023.376,2,882,938,940.2985075
53.39225553,-113.4387337,727.23,264,0.8,82.39,2595,31.7495183
38.34135734,124.0238537,183,1243,-492.9642857,7.09574527,1235.5,5.743217539
39.1732866,125.9250275,40,1363,-308.6071429,7.98177696,879.5,9.075357544
23.969819,-120.517168,8037.09,1324.62,53,880,1282,686.4274571
442760087,-940902744,4,183,-234,158,390,405.1282051
442760088,-940902745,2,152,-228,159,240,662.5
442760088,-940902737,3,116,-230,101,1990,50.75376884
38.6801253,124.3966983,42,927,-632.7857143,6.423754944,1505.5,4.266858149
38.58680849,124.0439971,1269,1097,-761.2142857,5.806519384,1753.5,3.3113883
28.743198,-120.516781,10417.76,796.0482,18,909,732,1241.803279
442760087,-940902737,1,186,-232,120,4400,27.27272727
442760088,-940902744,1,100,-233,173,355,487.3239437
29.156523,-120.51683,10415.37,750.2814,55,887,694,1278.097983
53.64954779,-113.2998192,644.05,293,247.1,60.41,1416,42.66242938
38.19123445,126.1037443,641,1006,-623.4642857,6.468554299,1487.5,4.348607932
53.38808229,-113.3341258,751.14,247,270.3,60.25,1779,33.8673412
53.57782186,-113.6650173,721.6,277,197.9,41.04,825,49.74545455
442760087,-940902737,1,136,-227,122,1965,62.08651399
442760085,-940902735,1,160,-230,113,4885,23.13203685
53.70538064,-113.3082464,664.85,225,56.1,74.83,1350,55.42962963
37.56744915,124.4170626,977,741,-142.8928571,8.77820994,559.5,15.68938327
53.39150239,-113.4749888,726.61,316,193.7,71.44,1560,45.79487179
53.58735462,-113.6382425,730.19,277,3,70.99,1251,56.74660272
53.46251504,-113.351303,742.94,319,99.6,67.73,1278,52.99687011
53.39537708,-113.4345598,741.56,277,3.2,76.07,450,169.0444444
442760085,-940902735,3,163,-234,181,4780,37.86610879
53.69566386,-113.5201813,730.54,360,89.3,96.99,1887,51.3990461
442760087,-940902737,6,170,-231,114,3545,32.15796897
442760088,-940902745,5,170,-232,140,260,538.4615385
53.57555318,-113.608934,700.64,345,247.6,76.04,1419,53.58703312
37.69556101,127.0139623,801,500,-23.78571429,9.350646145,329.5,28.37828876
30.167343,-120.517072,10420.05,638.3077,-85,914,602,1518.272425
442760086,-940902739,6,154,-232,166,1595,104.0752351
53.56158612,-113.6950735,743.63,252,0.2,59.01,2220,26.58108108
442760089,-940902746,1,162,-228,135,145,931.0344828
442760086,-940902740,6,102,-232,120,1365,87.91208791
53.40269267,-113.3561905,772.07,203,1.8,73.79,2862,25.78266946
38.96357272,125.0078369,268,869,-427.7142857,7.409340756,1109.5,6.678089911
25.865264,-120.516918,843.82,1114.373,19,913,1056,864.5833333
442760087,-940902742,4,182,-235,124,865,143.3526012
53.36818966,-113.3396719,764.96,276,178.9,70.35,1914,36.75548589
37.55445821,127.3601322,1338,722,-304.4642857,8.001687785,871.5,9.181512088
442760088,-940902737,2,200,-232,151,2970,50.84175084
442760087,-940902737,6,200,-232,138,2370,58.2278481
53.54710833,-113.7075921,733.99,289,273.2,68.85,2178,31.61157025
38.62547726,128.6615996,317,650,-24.82142857,9.345668438,331.5,28.19206165
31.352499,-120.516827,10414.24,506.977,-18,920,492,1869.918699
37.33436051,128.1901622,1365,1305,-196.75,8.519369222,663.5,12.84004404
37.13984361,126.2385078,167,853,-480.5357143,7.155477744,1211.5,5.906296116
37.33311216,128.4122029,1341,1362,-259.9285714,8.215729148,785.5,10.45923507
17.457872,-120.516734,4083.81,2045.087,50,905,1974,458.4599797
29.552138,-120.51711,10425.46,706.4732,27,901,658,1369.300912
23.824704,-120.517272,8410.64,1340.677,-57,893,1296,689.0432099
26.198961,-120.517121,1141.62,1077.404,-14,882,1004,878.4860558
21.34203,-120.517201,10391.86,1615.499,-71,913,1524,599.0813648
53.66402166,-113.4741283,718.98,270,269.9,71.94,1140,63.10526316
442760086,-940902740,5,109,-231,170,1500,113.3333333
53.65313629,-113.3564281,701.24,338,318.8,82.76,1671,49.5272292
39.12321691,126.727968,64,1177,-604.8214286,6.558153009,1451.5,4.518190154
53.37344337,-113.3118526,776.87,359,267.7,68.75,369,186.3143631
26.448868,-120.516743,2199.17,1049.779,7,897,968,926.6528926
34.142523,-118.328635,5612.3,110.9718,39,904,144,6277.777778
28.982017,-120.517165,10416.75,769.6023,53,887,710,1249.295775
33.177801,-118.680056,8229.6,229.0589,48,881,254,3468.503937
53.41141865,-113.4106994,765.55,215,88.4,65.15,1464,44.50136612
442760088,-940902738,2,142,-228,100,1955,51.15089514
39.22713553,128.4072784,1104,512,-596.5357143,6.597974658,1435.5,4.596290253
53.67828692,-113.5157746,719.66,203,239,76.76,69,1112.463768
24.727527,-120.517123,5669.83,1240.644,-36,895,1206,742.1227197
53.4021407,-113.3054516,765.44,324,345,85.36,2943,29.00441726
442760089,-940902746,2,195,-227,105,80,1312.5
31.054226,-120.516991,10417.33,540.0384,90,884,520,1700
39.9126378,126.3852797,986,579,-746.7142857,5.87620727,1725.5,3.405509864
53.60520605,-113.5839602,701.04,341,268.2,90.9,2001,45.42728636
17.784586,-120.517075,2519.79,2008.813,-54,884,1934,457.0837642
442760087,-940902742,2,194,-233,138,885,155.9322034
32.775006,-119.205526,9508.81,295.5422,23,889,312,2849.358974
27.325648,-120.517139,6954.03,952.8976,30,901,868,1038.018433
37.05887136,126.0902141,969,1171,-127.3571429,8.852875532,529.5,16.71931168
53.65975341,-113.3713559,674.16,317,331.8,84.2,1665,50.57057057
38.56204863,124.086363,401,544,-557.1785714,6.787127491,1359.5,4.99237035
34.713264,-117.948018,2417.75,33.10314,49,918,54,17000
53.70280125,-113.3451665,709.96,284,215.9,78.5,384,204.4270833
23.531255,-120.517103,9043.6,1373.181,67,889,1324,671.4501511
38.52718249,126.6484099,660,926,-97.32142857,8.99722901,471.5,19.08214
38.3812914,125.3821357,957,619,-784,5.69700985,1797.5,3.169407427
39.70375193,125.57713,1046,1049,-460.8571429,7.25005416,1173.5,6.178145854
38.686834,125.702005,100,500,69,14,101.5,137.9310345
442760087,-940902743,2,199,-235,129,770,167.5324675
39.92934232,125.2465,1043,712,-386.2857143,7.608449001,1029.5,7.390431278
22.507969,-120.516832,10414.43,1486.503,42,910,1418,641.7489422
53.67365364,-113.5337539,728.67,397,357.9,68.58,2460,27.87804878
53.52497139,-113.7376241,754.14,299,270.6,66.74,1686,39.58481613
34.713263,-117.980913,2317.31,30.04779,-43,905,50,18100
25.982576,-120.517039,844.74,1101.4,-88,891,1038,858.3815029
53.65251187,-113.4888266,710.01,203,0.3,86.63,465,186.3010753
24.949185,-120.516767,4757.02,1216.074,46,887,1182,750.4230118
31.690938,-120.515874,10404.57,469.4688,-26,886,460,1926.086957
34.585238,-117.970304,3324.7,50.21572,-17,909,76,11960.52632
442760087,-940902744,5,142,-233,153,575,266.0869565
37.00101865,126.2846946,1067,1314,-350.0357143,7.782668716,959.5,8.111171147
39.78011231,128.3343701,518,1062,-275.4642857,8.141063556,815.5,9.982910553
34.711732,-117.996995,2245.83,28.55529,-36,888,48,18500
53.45773097,-113.607949,722.47,212,269.5,61.33,9,6814.444444
39.17921841,125.94191,1160,586,-50.71428571,9.221225785,381.5,24.17097191
53.5462337,-113.696593,731.99,274,269.9,76.12,2037,37.36867943
37.37790307,128.7583347,1073,766,-373.8571429,7.668181475,1005.5,7.626237171
37.85891757,125.8435849,252,1175,-661.7857143,6.284379172,1561.5,4.0245784
53.4381884,-113.3392121,756.67,299,83.3,67.78,1326,51.11613876
53.68166737,-113.4305646,721.43,333,2,89.65,1158,77.417962
442760088,-940902736,6,157,-235,146,2810,51.95729537
53.66587996,-113.4220664,708.71,399,232.7,84.22,2832,29.73870056
34.002534,-118.343941,5902.08,126.6163,-30,916,160,5725
442760087,-940902744,1,145,-234,153,555,275.6756757
37.96002294,127.3139561,75,1256,-213.3214286,8.439725924,695.5,12.13476049
38.70093271,128.4814184,241,1000,-74.53571429,9.106738544,427.5,21.30231238
442760086,-940902741,5,106,-232,110,1210,90.90909091
442760087,-940902737,2,165,-232,109,3025,36.03305785
34.05605,-118.337284,5760.89,120.6403,83,920,154,5974.025974
53.62156268,-113.572134,724.93,204,89.7,58.37,81,720.617284
53.39478124,-113.4357463,732.79,240,4.6,68.34,2361,28.94536213
53.42347689,-113.3062995,767.18,309,240.3,65.81,1059,62.14353163
18.891201,-120.516759,1931.43,1886.367,-75,910,1776,512.3873874
39.12441816,128.5936757,11,685,-240.25,8.310305565,747.5,11.11746564
53.37848549,-113.3012832,768.45,336,291.8,61.24,1284,47.69470405
53.66034042,-113.2765533,630.63,328,191.1,81.92,1953,41.94572453
442760087,-940902742,1,165,-232,103,910,113.1868132
53.61225123,-113.5660468,720.59,293,0.1,83.13,1011,82.22551929
53.40548784,-113.4150374,769.58,280,90.8,81.61,984,82.93699187
38.30420262,127.8562028,486,586,9.357142857,9.509932741,265.5,35.81895571
38.72354885,125.4633105,358,745,-446.3571429,7.319742046,1145.5,6.389997421
53.67006575,-113.5278074,730.4,390,181.6,72.63,2583,28.1184669
53.56560932,-113.6697003,745.14,371,7.6,99.38,939,105.8359957
21.84753,-120.517163,10390.35,1559.549,-2,908,1478,614.3437077
37.95766173,125.0547819,692,1241,-141.8571429,8.783187646,557.5,15.75459667
53.57765395,-113.6653532,710.63,365,264.8,72.22,2976,24.26747312
53.39269008,-113.3010939,770.16,257,148.3,64.94,174,373.2183908
17.596713,-120.51689,3500.1,2029.679,-27,891,1958,455.0561798
53.70504904,-113.4803458,712.21,337,181.4,79.89,2184,36.57967033
442760087,-940902743,1,127,-234,106,685,154.7445255
34.630241,-118.123933,918.6,2.053248,29,901,6,150166.6667
442760086,-940902741,1,156,-232,127,1180,107.6271186
53.38218051,-113.5719473,724.23,337,88,82.15,132,622.3484848
53.69921932,-113.4795254,707.49,362,247.4,67.78,1581,42.87160025
25.446357,-120.517116,2507.94,1160.811,-18,900,1120,803.5714286
23.783027,-120.517234,8511.33,1345.288,-14,880,1300,676.9230769
53.41632213,-113.402194,766.09,218,336.1,79.07,702,112.6353276
53.60949851,-113.5683691,715.1,259,54.9,82.6,2946,28.03801765
53.41269596,-113.48466,743.35,331,228.6,74.24,459,161.7429194
53.69488852,-113.5202572,718.56,365,267.8,59.48,1329,44.75545523
25.108904,-120.516746,4079.62,1198.358,83,906,1164,778.3505155
39.80442252,128.2373594,1230,616,-619.3214286,6.488465123,1479.5,4.385579671
442760086,-940902736,5,148,-234,142,4185,33.9307049
442760086,-940902736,5,122,-233,171,3950,43.29113924
53.55030598,-113.6602344,735.55,253,0.3,93.83,999,93.92392392
442760088,-940902737,4,110,-233,176,2605,67.56238004
53.49816712,-113.747039,733.76,396,27.3,72.87,1311,55.58352403
442760086,-940902740,2,171,-233,173,1325,130.5660377
19.985292,-120.516791,7864.08,1765.503,88,920,1648,558.2524272
38.39724239,124.6986737,840,567,-763.2857143,5.796563972,1757.5,3.298187182
23.063325,-120.517054,9801.78,1425.006,30,898,1368,656.4327485
27.248923,-120.516885,6527.31,961.3879,70,881,876,1005.707763
39.25569668,126.6434693,224,586,-12.39285714,9.405400912,307.5,30.58666963
39.6596,124.7057,581,586,14,5,65.5,76.33587786
442760086,-940902738,6,131,-232,135,1610,83.85093168
19.060677,-120.516699,2895.2,1867.62,-12,891,1754,507.981756
442760087,-940902737,5,131,-231,143,1915,74.67362924
442760086,-940902736,5,107,-235,117,4180,27.99043062
442760086,-940902741,5,133,-232,136,1185,114.7679325
31.928811,-120.285045,10418.66,434.0399,-64,886,430,2060.465116
39.09063681,128.8006733,1309,1358,-567.5357143,6.73735043,1379.5,4.883907524
53.42307444,-113.7051184,730.16,385,263.4,77.5,1926,40.23883697
442760086,-940902736,6,164,-232,180,4615,39.00325027
442760086,-940902736,1,121,-234,155,4525,34.25414365
33.688451,-118.381934,6768.93,161.6564,75,908,194,4680.412371
442760086,-940902737,1,140,-231,163,4090,39.85330073
53.38163473,-113.5297484,739.43,201,358.6,107.34,2736,39.23245614
53.58489772,-113.2494613,686.58,358,267.5,92.04,1572,58.54961832
37.03424753,128.2600317,1179,708,-686.6428571,6.164914225,1609.5,3.830328813
53.49500625,-113.7559388,737.57,333,134.4,72.69,942,77.1656051
38.27064989,124.5819217,468,586,0.035714286,9.465133385,283.5,33.38671388
53.3692293,-113.3063066,773.39,394,88.9,84.18,771,109.1828794
442760086,-940902735,6,179,-234,190,4670,40.68522484
53.66138,-113.3707606,672,357,181.4,76.99,2709,28.42008121
19.385767,-120.516876,4656.44,1831.701,-88,895,1714,522.1703617
20.5466,-120.51728,10389.34,1703.51,-34,908,1596,568.9223058
39.93661905,127.6277427,1191,760,-572.7142857,6.712461899,1389.5,4.830846995
39.49206041,126.0737085,1150,986,-138.75,8.798120765,551.5,15.95307482
38.1050079,125.8176653,611,561,-720.8214286,6.000649923,1675.5,3.581408489
37.98497857,125.5967789,448,989,-450.5,7.299831222,1153.5,6.328418918
442760086,-940902736,1,186,-234,145,4200,34.52380952
22.620206,-120.517263,10330.58,1474.087,7,903,1408,641.3352273
53.68281159,-113.3625606,709.71,277,53.1,69.36,2103,32.98145506
53.40705996,-113.3401754,773.9,300,348.5,71.62,405,176.8395062
442760087,-940902737,5,152,-233,167,3380,49.40828402
442760086,-940902736,5,190,-235,174,3760,46.27659574
17.904736,-120.517018,1696.75,1995.539,19,884,1918,460.8967675
32.844517,-119.115624,9301.96,284.1033,44,885,302,2930.463576
38.7523,125.3247,134,490,-40,9,129.5,69.4980695
31.37371,-120.517237,10415.2,504.6193,-59,893,490,1822.44898
20.195037,-120.517221,8886.8,1742.394,-4,880,1628,540.5405405
442760087,-940902744,3,131,-232,134,415,322.8915663
53.40287507,-113.3553149,770.39,272,180,64.64,2901,22.28197173
30.363603,-120.51671,10420.17,616.5662,63,899,584,1539.383562
20.43626,-120.517014,10096.55,1715.721,42,897,1606,558.5305106
34.636051,-118.16465,1168.97,5.948554,-57,884,14,63142.85714
53.42843114,-113.3184797,762.17,308,184.8,67.53,2403,28.10237203
34.708415,-118.044837,1940.82,24.16169,51,890,42,21190.47619
442760086,-940902742,1,176,-235,131,860,152.3255814
53.6503716,-113.4591924,707.34,268,90.1,78.01,192,406.3020833
442760086,-940902737,2,166,-231,177,4045,43.75772559
442760087,-940902744,5,107,-233,121,560,216.0714286
53.39068237,-113.2964483,776.77,350,5,81.29,2775,29.29369369
24.05251,-120.516786,7799.51,1315.464,-71,886,1274,695.4474097
53.39824545,-113.3018208,771.96,378,339,74.98,510,147.0196078
39.41292726,124.0205438,1377,1050,-587.2142857,6.642774013,1417.5,4.686260327
53.64206588,-113.5609165,726.53,338,179.9,84.48,2016,41.9047619
18.665749,-120.516944,627.54,1911.311,39,891,1806,493.3554817
38.73969151,127.3343724,1334,747,-372.8214286,7.673159181,1003.5,7.646396792
53.66939557,-113.3676228,700.41,207,65.6,49.67,2472,20.09304207
442760085,-940902734,5,109,-233,128,4775,26.80628272
19.867725,-120.517227,7288.72,1778.472,69,901,1660,542.7710843
32.016392,-120.175174,10415.08,419.8186,-74,918,418,2196.172249
442760086,-940902734,4,185,-234,144,4975,28.94472362
53.5921978,-113.683078,699.82,361,261.7,73.4,501,146.506986
53.60367614,-113.2626779,662.76,224,9.5,94.26,1281,73.58313817
442760086,-940902742,3,165,-229,132,1060,124.5283019
23.887009,-120.517203,8265.49,1333.781,-79,910,1290,705.4263566
