Latitude,Longitude,Altitude ,Distance,Pitch angle,Velocity,Time(secs)
25.55675,-120.516766,1704.14,1148.579,69,915,1104
442760087,-940902742,4,191,-231,173,945
53.50957574,-113.7326947,738.08,268,358,74.26,789
53.4076686,-113.5021226,705.74,397,203.9,74.17,948
53.51205082,-113.7215985,733.26,222,88.2,59.62,2781
39.34523599,127.6844752,373,1290,-236.1071429,8.330216389,739.5
442760088,-940902737,3,200,-232,158,3010
29.003795,-120.516736,10416.5,767.1846,-37,900,708
30.407097,-120.51669,10418.32,611.7499,75,919,580
53.50177995,-113.7934201,735.39,233,285,76.38,2661
39.80484591,124.7999745,1287,919,-501.25,7.055923621,1251.5
18.52424,-120.516932,167.47,1926.919,-35,886,1826
442760086,-940902738,3,112,-232,173,1620
442760086,-940902734,5,141,-234,163,4980
53.38526918,-113.5761652,714.05,387,358,74.13,1497
53.52953796,-113.6632114,731.81,291,203.7,67.55,177
39.44652929,128.0186217,599,280,33.17857143,9.624419981,219.5
442760087,-940902737,5,130,-230,136,1970
442760086,-940902736,5,188,-234,128,3895
53.70893567,-113.3446777,760.7,240,180.6,75.26,1722
442760087,-940902737,2,112,-230,121,3975
27.383309,-120.516977,7265.12,946.5157,-10,880,862
442760087,-940902744,3,170,-236,163,615
21.099151,-120.516851,10392.29,1642.381,-16,902,1546
21.803696,-120.517051,10389.47,1564.405,26,920,1482
53.7155672,-113.3568379,689.43,237,0,69.4,2343
53.71293592,-113.3440035,684.74,359,180.6,82.89,30
442760086,-940902734,4,153,-234,147,4990
17.678186,-120.517256,3146.25,2020.626,0,906,1948
53.41467949,-113.4012399,768.65,304,210.4,63.56,738
442760087,-940902737,2,110,-232,188,2415
442760087,-940902737,5,196,-233,142,3370
26.121353,-120.517121,862.63,1085.979,-39,885,1016
26.721779,-120.51672,3484.12,1019.639,-85,903,934
442760087,-940902736,2,148,-234,185,3775
53.67508206,-113.5335371,731.91,284,90.7,77.04,1161
442760087,-940902737,5,181,-231,129,2335
34.292044,-118.201202,5070,89.45067,7,906,120
53.56753134,-113.6659299,733.23,376,269,72.29,2910
442760086,-940902742,1,128,-232,163,915
442760087,-940902745,6,185,-232,148,465
23.319596,-120.517057,9455.54,1396.611,-8,903,1344
53.6444115,-113.266353,640.63,280,175.1,83.57,2202
37.6485231,124.295382,772,1357,-765.3571429,5.78660856,1761.5
442760087,-940902737,4,133,-233,102,3180
31.458455,-120.516953,10413.88,495.2328,-83,884,482
32.914065,-119.024961,9097.32,272.6473,86,913,292
442760086,-940902737,3,163,-232,129,4100
27.817925,-120.517101,9592.36,898.4898,-42,886,818
442760089,-940902746,1,105,-227,104,85
53.49362428,-113.7482541,736.19,348,209.7,68.75,726
442760086,-940902737,3,122,-231,173,4225
21.187553,-120.516774,10389.86,1632.606,6,909,1538
53.40937741,-113.3016588,772.95,290,256.3,71.37,2892
39.504417,125.964333,71,0,78,12,211.5
442760087,-940902745,1,145,-232,178,510
442760087,-940902744,3,191,-234,114,635
53.66986517,-113.3328448,693.2,326,180.9,69.78,2163
39.29183943,127.8938526,992,1084,-603.7857143,6.563130715,1449.5
39.38878341,125.9868218,438,1139,-247.5,8.275461622,761.5
29.882399,-120.516918,10421.06,669.8842,87,884,628
53.44682225,-113.6037197,719.35,400,357.8,62.58,54
25.814449,-120.516904,867.88,1119.978,-7,897,1064
30.036034,-120.517034,10419.94,652.8645,17,916,614
442760087,-940902736,2,108,-230,170,2170
37.66216113,126.5253278,857,1159,-230.9285714,8.35510492,729.5
53.4636634,-113.7809293,720.45,360,92,76.96,531
23.636587,-120.517104,8834.6,1361.518,-75,903,1314
38.22016833,127.878275,30,586,-35.17857143,9.295891377,351.5
39.43090955,126.7994055,851,673,-307.5714286,7.986754667,877.5
442760087,-940902744,2,107,-232,109,395
39.1677,127.4817,195,586,-26,15,157.5
26.305836,-120.516918,1658.9,1065.58,90,907,988
39.83480331,126.6322572,1120,586,-54.85714286,9.201314961,389.5
53.64467286,-113.3475377,677.29,236,268.5,66.93,2199
442760087,-940902737,2,195,-234,172,3335
53.56043658,-113.7158491,731.96,337,10.6,78.58,285
53.66837914,-113.5233059,713.01,400,181.9,59.06,2853
31.26752,-120.516861,10413.54,516.3898,30,916,500
37.42292502,125.3735009,711,1103,-387.3214286,7.603471295,1031.5
53.64462355,-113.5314977,706.38,399,202.9,75.04,1578
25.740689,-120.516854,899.58,1128.124,29,896,1076
442760087,-940902736,1,101,-234,120,2590
442760087,-940902737,1,124,-233,137,3385
38.30186305,128.1449396,1338,1154,-656.6071429,6.309267703,1551.5
442760087,-940902737,3,162,-233,129,3045
21.606225,-120.51682,10391.12,1586.259,-32,885,1500
32.955878,-118.97051,8973.33,265.7459,-20,909,286
442760088,-940902746,3,178,-228,157,170
442760086,-940902739,6,131,-233,145,1540
442760086,-940902736,2,183,-235,170,4440
53.4009147,-113.4028831,747.97,250,183.5,70.88,2898
18.065829,-120.516816,552.07,1977.636,-21,917,1896
53.65032674,-113.4317669,694.58,226,275.8,87.57,1068
37.45407705,128.1367332,1316,1267,-521.9642857,6.956369499,1291.5
53.43231797,-113.3678168,790.27,378,268.3,69.8,1521
442760089,-940902746,3,148,-227,108,30
39.13902488,127.6953897,218,703,-432.8928571,7.384452226,1119.5
442760087,-940902736,6,183,-231,155,2140
442760087,-940902736,2,167,-231,155,3500
442760087,-940902736,6,198,-231,153,2130
26.687978,-120.517117,3320.15,1023.376,2,882,938
53.39225553,-113.4387337,727.23,264,0.8,82.39,2595
38.34135734,124.0238537,183,1243,-492.9642857,7.09574527,1235.5
39.1732866,125.9250275,40,1363,-308.6071429,7.98177696,879.5
23.969819,-120.517168,8037.09,1324.62,53,880,1282
442760087,-940902744,4,183,-234,158,390
442760088,-940902745,2,152,-228,159,240
442760088,-940902737,3,116,-230,101,1990
38.6801253,124.3966983,42,927,-632.7857143,6.423754944,1505.5
38.58680849,124.0439971,1269,1097,-761.2142857,5.806519384,1753.5
28.743198,-120.516781,10417.76,796.0482,18,909,732
442760087,-940902737,1,186,-232,120,4400
442760088,-940902744,1,100,-233,173,355
29.156523,-120.51683,10415.37,750.2814,55,887,694
53.64954779,-113.2998192,644.05,293,247.1,60.41,1416
38.19123445,126.1037443,641,1006,-623.4642857,6.468554299,1487.5
53.38808229,-113.3341258,751.14,247,270.3,60.25,1779
53.57782186,-113.6650173,721.6,277,197.9,41.04,825
442760087,-940902737,1,136,-227,122,1965
442760085,-940902735,1,160,-230,113,4885
53.70538064,-113.3082464,664.85,225,56.1,74.83,1350
37.56744915,124.4170626,977,741,-142.8928571,8.77820994,559.5
53.39150239,-113.4749888,726.61,316,193.7,71.44,1560
53.58735462,-113.6382425,730.19,277,3,70.99,1251
53.46251504,-113.351303,742.94,319,99.6,67.73,1278
53.39537708,-113.4345598,741.56,277,3.2,76.07,450
442760085,-940902735,3,163,-234,181,4780
53.69566386,-113.5201813,730.54,360,89.3,96.99,1887
442760087,-940902737,6,170,-231,114,3545
442760088,-940902745,5,170,-232,140,260
53.57555318,-113.608934,700.64,345,247.6,76.04,1419
37.69556101,127.0139623,801,500,-23.78571429,9.350646145,329.5
30.167343,-120.517072,10420.05,638.3077,-85,914,602
442760086,-940902739,6,154,-232,166,1595
53.56158612,-113.6950735,743.63,252,0.2,59.01,2220
442760089,-940902746,1,162,-228,135,145
442760086,-940902740,6,102,-232,120,1365
53.40269267,-113.3561905,772.07,203,1.8,73.79,2862
38.96357272,125.0078369,268,869,-427.7142857,7.409340756,1109.5
25.865264,-120.516918,843.82,1114.373,19,913,1056
442760087,-940902742,4,182,-235,124,865
53.36818966,-113.3396719,764.96,276,178.9,70.35,1914
37.55445821,127.3601322,1338,722,-304.4642857,8.001687785,871.5
442760088,-940902737,2,200,-232,151,2970
442760087,-940902737,6,200,-232,138,2370
53.54710833,-113.7075921,733.99,289,273.2,68.85,2178
38.62547726,128.6615996,317,650,-24.82142857,9.345668438,331.5
31.352499,-120.516827,10414.24,506.977,-18,920,492
37.33436051,128.1901622,1365,1305,-196.75,8.519369222,663.5
37.13984361,126.2385078,167,853,-480.5357143,7.155477744,1211.5
37.33311216,128.4122029,1341,1362,-259.9285714,8.215729148,785.5
17.457872,-120.516734,4083.81,2045.087,50,905,1974
29.552138,-120.51711,10425.46,706.4732,27,901,658
23.824704,-120.517272,8410.64,1340.677,-57,893,1296
26.198961,-120.517121,1141.62,1077.404,-14,882,1004
21.34203,-120.517201,10391.86,1615.499,-71,913,1524
53.66402166,-113.4741283,718.98,270,269.9,71.94,1140
442760086,-940902740,5,109,-231,170,1500
53.65313629,-113.3564281,701.24,338,318.8,82.76,1671
39.12321691,126.727968,64,1177,-604.8214286,6.558153009,1451.5
53.37344337,-113.3118526,776.87,359,267.7,68.75,369
26.448868,-120.516743,2199.17,1049.779,7,897,968
34.142523,-118.328635,5612.3,110.9718,39,904,144
28.982017,-120.517165,10416.75,769.6023,53,887,710
33.177801,-118.680056,8229.6,229.0589,48,881,254
53.41141865,-113.4106994,765.55,215,88.4,65.15,1464
442760088,-940902738,2,142,-228,100,1955
39.22713553,128.4072784,1104,512,-596.5357143,6.597974658,1435.5
53.67828692,-113.5157746,719.66,203,239,76.76,69
24.727527,-120.517123,5669.83,1240.644,-36,895,1206
53.4021407,-113.3054516,765.44,324,345,85.36,2943
442760089,-940902746,2,195,-227,105,80
31.054226,-120.516991,10417.33,540.0384,90,884,520
39.9126378,126.3852797,986,579,-746.7142857,5.87620727,1725.5
53.60520605,-113.5839602,701.04,341,268.2,90.9,2001
17.784586,-120.517075,2519.79,2008.813,-54,884,1934
442760087,-940902742,2,194,-233,138,885
32.775006,-119.205526,9508.81,295.5422,23,889,312
27.325648,-120.517139,6954.03,952.8976,30,901,868
37.05887136,126.0902141,969,1171,-127.3571429,8.852875532,529.5
53.65975341,-113.3713559,674.16,317,331.8,84.2,1665
38.56204863,124.086363,401,544,-557.1785714,6.787127491,1359.5
34.713264,-117.948018,2417.75,33.10314,49,918,54
53.70280125,-113.3451665,709.96,284,215.9,78.5,384
23.531255,-120.517103,9043.6,1373.181,67,889,1324
38.52718249,126.6484099,660,926,-97.32142857,8.99722901,471.5
38.3812914,125.3821357,957,619,-784,5.69700985,1797.5
39.70375193,125.57713,1046,1049,-460.8571429,7.25005416,1173.5
38.686834,125.702005,100,500,69,14,101.5
442760087,-940902743,2,199,-235,129,770
39.92934232,125.2465,1043,712,-386.2857143,7.608449001,1029.5
22.507969,-120.516832,10414.43,1486.503,42,910,1418
53.67365364,-113.5337539,728.67,397,357.9,68.58,2460
53.52497139,-113.7376241,754.14,299,270.6,66.74,1686
34.713263,-117.980913,2317.31,30.04779,-43,905,50
25.982576,-120.517039,844.74,1101.4,-88,891,1038
53.65251187,-113.4888266,710.01,203,0.3,86.63,465
24.949185,-120.516767,4757.02,1216.074,46,887,1182
31.690938,-120.515874,10404.57,469.4688,-26,886,460
34.585238,-117.970304,3324.7,50.21572,-17,909,76
442760087,-940902744,5,142,-233,153,575
37.00101865,126.2846946,1067,1314,-350.0357143,7.782668716,959.5
39.78011231,128.3343701,518,1062,-275.4642857,8.141063556,815.5
34.711732,-117.996995,2245.83,28.55529,-36,888,48
53.45773097,-113.607949,722.47,212,269.5,61.33,9
39.17921841,125.94191,1160,586,-50.71428571,9.221225785,381.5
53.5462337,-113.696593,731.99,274,269.9,76.12,2037
37.37790307,128.7583347,1073,766,-373.8571429,7.668181475,1005.5
37.85891757,125.8435849,252,1175,-661.7857143,6.284379172,1561.5
53.4381884,-113.3392121,756.67,299,83.3,67.78,1326
53.68166737,-113.4305646,721.43,333,2,89.65,1158
442760088,-940902736,6,157,-235,146,2810
53.66587996,-113.4220664,708.71,399,232.7,84.22,2832
34.002534,-118.343941,5902.08,126.6163,-30,916,160
442760087,-940902744,1,145,-234,153,555
37.96002294,127.3139561,75,1256,-213.3214286,8.439725924,695.5
38.70093271,128.4814184,241,1000,-74.53571429,9.106738544,427.5
442760086,-940902741,5,106,-232,110,1210
442760087,-940902737,2,165,-232,109,3025
34.05605,-118.337284,5760.89,120.6403,83,920,154
53.62156268,-113.572134,724.93,204,89.7,58.37,81
53.39478124,-113.4357463,732.79,240,4.6,68.34,2361
53.42347689,-113.3062995,767.18,309,240.3,65.81,1059
18.891201,-120.516759,1931.43,1886.367,-75,910,1776
39.12441816,128.5936757,11,685,-240.25,8.310305565,747.5
53.37848549,-113.3012832,768.45,336,291.8,61.24,1284
53.66034042,-113.2765533,630.63,328,191.1,81.92,1953
442760087,-940902742,1,165,-232,103,910
53.61225123,-113.5660468,720.59,293,0.1,83.13,1011
53.40548784,-113.4150374,769.58,280,90.8,81.61,984
38.30420262,127.8562028,486,586,9.357142857,9.509932741,265.5
38.72354885,125.4633105,358,745,-446.3571429,7.319742046,1145.5
53.67006575,-113.5278074,730.4,390,181.6,72.63,2583
53.56560932,-113.6697003,745.14,371,7.6,99.38,939
21.84753,-120.517163,10390.35,1559.549,-2,908,1478
37.95766173,125.0547819,692,1241,-141.8571429,8.783187646,557.5
53.57765395,-113.6653532,710.63,365,264.8,72.22,2976
53.39269008,-113.3010939,770.16,257,148.3,64.94,174
17.596713,-120.51689,3500.1,2029.679,-27,891,1958
53.70504904,-113.4803458,712.21,337,181.4,79.89,2184
442760087,-940902743,1,127,-234,106,685
34.630241,-118.123933,918.6,2.053248,29,901,6
442760086,-940902741,1,156,-232,127,1180
53.38218051,-113.5719473,724.23,337,88,82.15,132
53.69921932,-113.4795254,707.49,362,247.4,67.78,1581
25.446357,-120.517116,2507.94,1160.811,-18,900,1120
23.783027,-120.517234,8511.33,1345.288,-14,880,1300
53.41632213,-113.402194,766.09,218,336.1,79.07,702
53.60949851,-113.5683691,715.1,259,54.9,82.6,2946
53.41269596,-113.48466,743.35,331,228.6,74.24,459
53.69488852,-113.5202572,718.56,365,267.8,59.48,1329
25.108904,-120.516746,4079.62,1198.358,83,906,1164
39.80442252,128.2373594,1230,616,-619.3214286,6.488465123,1479.5
442760086,-940902736,5,148,-234,142,4185
442760086,-940902736,5,122,-233,171,3950
53.55030598,-113.6602344,735.55,253,0.3,93.83,999
442760088,-940902737,4,110,-233,176,2605
53.49816712,-113.747039,733.76,396,27.3,72.87,1311
442760086,-940902740,2,171,-233,173,1325
19.985292,-120.516791,7864.08,1765.503,88,920,1648
38.39724239,124.6986737,840,567,-763.2857143,5.796563972,1757.5
23.063325,-120.517054,9801.78,1425.006,30,898,1368
27.248923,-120.516885,6527.31,961.3879,70,881,876
39.25569668,126.6434693,224,586,-12.39285714,9.405400912,307.5
39.6596,124.7057,581,586,14,5,65.5
442760086,-940902738,6,131,-232,135,1610
19.060677,-120.516699,2895.2,1867.62,-12,891,1754
442760087,-940902737,5,131,-231,143,1915
442760086,-940902736,5,107,-235,117,4180
442760086,-940902741,5,133,-232,136,1185
31.928811,-120.285045,10418.66,434.0399,-64,886,430
39.09063681,128.8006733,1309,1358,-567.5357143,6.73735043,1379.5
53.42307444,-113.7051184,730.16,385,263.4,77.5,1926
442760086,-940902736,6,164,-232,180,4615
442760086,-940902736,1,121,-234,155,4525
33.688451,-118.381934,6768.93,161.6564,75,908,194
442760086,-940902737,1,140,-231,163,4090
53.38163473,-113.5297484,739.43,201,358.6,107.34,2736
53.58489772,-113.2494613,686.58,358,267.5,92.04,1572
37.03424753,128.2600317,1179,708,-686.6428571,6.164914225,1609.5
53.49500625,-113.7559388,737.57,333,134.4,72.69,942
38.27064989,124.5819217,468,586,0.035714286,9.465133385,283.5
53.3692293,-113.3063066,773.39,394,88.9,84.18,771
442760086,-940902735,6,179,-234,190,4670
53.66138,-113.3707606,672,357,181.4,76.99,2709
19.385767,-120.516876,4656.44,1831.701,-88,895,1714
20.5466,-120.51728,10389.34,1703.51,-34,908,1596
39.93661905,127.6277427,1191,760,-572.7142857,6.712461899,1389.5
39.49206041,126.0737085,1150,986,-138.75,8.798120765,551.5
38.1050079,125.8176653,611,561,-720.8214286,6.000649923,1675.5
37.98497857,125.5967789,448,989,-450.5,7.299831222,1153.5
442760086,-940902736,1,186,-234,145,4200
22.620206,-120.517263,10330.58,1474.087,7,903,1408
53.68281159,-113.3625606,709.71,277,53.1,69.36,2103
53.40705996,-113.3401754,773.9,300,348.5,71.62,405
442760087,-940902737,5,152,-233,167,3380
442760086,-940902736,5,190,-235,174,3760
17.904736,-120.517018,1696.75,1995.539,19,884,1918
32.844517,-119.115624,9301.96,284.1033,44,885,302
38.7523,125.3247,134,490,-40,9,129.5
31.37371,-120.517237,10415.2,504.6193,-59,893,490
20.195037,-120.517221,8886.8,1742.394,-4,880,1628
442760087,-940902744,3,131,-232,134,415
53.40287507,-113.3553149,770.39,272,180,64.64,2901
30.363603,-120.51671,10420.17,616.5662,63,899,584
20.43626,-120.517014,10096.55,1715.721,42,897,1606
34.636051,-118.16465,1168.97,5.948554,-57,884,14
53.42843114,-113.3184797,762.17,308,184.8,67.53,2403
34.708415,-118.044837,1940.82,24.16169,51,890,42
442760086,-940902742,1,176,-235,131,860
53.6503716,-113.4591924,707.34,268,90.1,78.01,192
442760086,-940902737,2,166,-231,177,4045
442760087,-940902744,5,107,-233,121,560
53.39068237,-113.2964483,776.77,350,5,81.29,2775
24.05251,-120.516786,7799.51,1315.464,-71,886,1274
53.39824545,-113.3018208,771.96,378,339,74.98,510
39.41292726,124.0205438,1377,1050,-587.2142857,6.642774013,1417.5
53.64206588,-113.5609165,726.53,338,179.9,84.48,2016
18.665749,-120.516944,627.54,1911.311,39,891,1806
38.73969151,127.3343724,1334,747,-372.8214286,7.673159181,1003.5
53.66939557,-113.3676228,700.41,207,65.6,49.67,2472
442760085,-940902734,5,109,-233,128,4775
19.867725,-120.517227,7288.72,1778.472,69,901,1660
32.016392,-120.175174,10415.08,419.8186,-74,918,418
442760086,-940902734,4,185,-234,144,4975
53.5921978,-113.683078,699.82,361,261.7,73.4,501
53.60367614,-113.2626779,662.76,224,9.5,94.26,1281
442760086,-940902742,3,165,-229,132,1060
23.887009,-120.517203,8265.49,1333.781,-79,910,1290
53.37116057,-113.3831797,757.74,337,268.3,72.47,2871
442760085,-940902734,1,151,-231,186,4800
39.04716767,127.5243713,599,507,-255.7857143,8.235639973,777.5
39.79075557,125.9241728,138,600,-640.0357143,6.388911001,1519.5
442760087,-940902736,2,152,-232,125,4105
32.248941,-119.880571,10271.15,381.8327,-53,894,386
34.159175,-118.326395,5580.93,109.1043,68,895,142
39.06572221,124.3117507,985,1203,-129.4285714,8.84292012,533.5
53.4020716,-113.3035772,777.63,346,161.3,97.2,2547
37.93905218,127.7581904,94,522,-621.3928571,6.478509711,1483.5
30.96856,-120.516701,10417.84,549.5349,88,897,528
53.41012174,-113.6193788,712.49,281,88.6,97.69,1524
28.22446,-120.517025,10418.99,853.4932,-54,912,780
442760086,-940902735,2,119,-234,147,4700
53.41426458,-113.2974438,783.96,233,173.3,70.25,270
30.07985,-120.516893,10422.76,648.0041,64,894,610
25.529269,-120.517124,1906.35,1151.633,82,882,1108
53.67960593,-113.3355214,705.24,247,269.1,76.88,2136
53.48704167,-113.7834532,747.92,380,120.9,79.33,969
442760088,-940902736,1,171,-235,157,3230
442760087,-940902737,2,135,-234,129,3340
39.412594,125.89031,150,650,28,15,93.5
53.66919148,-113.5233178,724.22,249,44.4,85.96,1710
25.570451,-120.51687,1602.89,1147.061,66,899,1102
17.348959,-120.516763,4563.9,2057.164,70,908,1986
37.11467376,126.830829,372,697,-295.1428571,8.04648714,853.5
39.43429986,127.8475037,510,1180,-642.1071429,6.378955589,1523.5
53.49535429,-113.3616952,748.96,305,142.6,69.68,1089
39.90828492,126.7891425,1300,977,-262,8.205773736,789.5
39.94389729,125.9169591,534,1089,-662.8214286,6.279401466,1563.5
53.38249923,-113.5754539,722.08,300,91.5,82.2,573
442760087,-940902743,5,145,-235,164,785
38.65714803,126.6721048,877,608,-590.3214286,6.627840895,1423.5
442760087,-940902737,5,181,-233,173,3720
53.42267064,-113.3132449,754.52,398,269.5,63.53,834
17.739635,-120.517163,2825.72,2013.786,21,892,1940
53.70590029,-113.4428367,702.89,324,2,69.25,1122
53.40111507,-113.3046947,765.65,349,357.6,67.47,885
53.66233198,-113.2535728,649.53,304,89.5,82.5,75
53.50686189,-113.7103696,741.67,381,209.2,71.66,1164
39.1437587,124.775511,1179,1174,-513.6785714,6.996191148,1275.5
53.40902045,-113.6337376,710.24,355,90.7,77.96,252
442760086,-940902739,2,169,-233,101,1530
53.46509284,-113.7541946,737.44,362,33.8,63.73,564
37.69693663,127.806218,550,506,-112.8571429,8.922563418,501.5
442760087,-940902737,3,156,-232,153,3670
442760087,-940902737,2,179,-231,126,4375
39.70198918,127.854306,739,629,-309.6428571,7.976799254,881.5
442760086,-940902736,2,128,-232,180,4295
442760086,-940902742,5,193,-235,158,840
53.49150431,-113.7864256,748.79,326,358.5,65.94,810
442760087,-940902744,3,119,-232,171,460
442760086,-940902737,1,176,-230,127,4275
37.22690026,124.3542806,115,586,11.42857143,9.519888153,261.5
53.64167673,-113.2657522,649.29,384,204,61.68,2961
53.58660061,-113.6383252,733.01,234,3.4,77.1,2907
442760088,-940902745,6,174,-231,125,245
22.219938,-120.517039,10392.36,1518.339,27,885,1444
33.328269,-118.475681,7579.16,203.712,-32,881,232
442760087,-940902737,2,150,-233,129,3365
39.36951321,124.0201306,1298,500,-30,9.320779908,341.5
38.2302214,124.3086769,88,1211,-693.8928571,6.130070282,1623.5
442760086,-940902736,6,122,-235,127,4455
19.139796,-120.517111,3327.75,1858.891,-65,897,1744
53.60454323,-113.6188565,760.17,288,195.3,70.29,1848
442760087,-940902736,2,174,-231,142,2145
53.64978213,-113.505858,694.33,391,269.3,64.53,2550
53.43610816,-113.455574,739.11,334,100.6,71.54,720
27.735067,-120.516676,9173.7,907.6372,-4,890,826
442760087,-940902737,5,154,-233,163,3435
26.060443,-120.517328,837.96,1092.737,28,902,1026
24.651905,-120.516794,5994.32,1249.025,-40,900,1214
442760087,-940902737,2,142,-234,169,3290
31.80006,-120.452096,10415.23,455.3643,-55,920,448
34.504452,-118.023602,3558.61,60.52861,9,915,88
53.40700296,-113.5042367,723.51,228,202.6,75.16,1056
17.294365,-120.516708,4867.95,2063.191,82,920,1992
442760087,-940902737,2,155,-234,133,2660
20.087942,-120.516922,8340.38,1754.203,73,892,1638
27.229907,-120.517114,6416.96,963.4883,15,900,878
25.515504,-120.517068,2007.9,1153.157,85,915,1110
27.536895,-120.517175,8105.77,929.5231,78,905,846
38.8512778,124.054965,1285,1367,-526.1071429,6.936458674,1299.5
39.11252538,124.735284,821,539,-378,7.64827065,1013.5
38.89479351,127.072786,1379,1367,-772.6071429,5.751764617,1775.5
18.156628,-120.516796,179.94,1967.547,19,901,1882
442760087,-940902736,3,163,-237,177,2895
53.59729101,-113.6329211,750.43,358,46.1,86.13,2097
18.69565,-120.516818,798.58,1908.008,10,911,1802
